epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,564.297,1.725,1.2956,1.0509,0.49039,0.34143,0.35905,0.18387,1.79821,2.02425,1.41761,0.00079705,0.00079705,0.00079705
43,575.987,1.73879,1.29438,1.05952,0.54537,0.3913,0.40542,0.20883,1.77797,1.83333,1.37854,0.0007921,0.0007921,0.0007921
44,587.952,1.71152,1.2657,1.04507,0.45998,0.45048,0.40699,0.20153,1.84103,1.93803,1.4358,0.00078715,0.00078715,0.00078715
45,599.587,1.71121,1.29761,1.05674,0.46943,0.42226,0.38165,0.18376,1.82726,1.89779,1.43905,0.0007822,0.0007822,0.0007822
46,611.775,1.71321,1.26292,1.04512,0.46869,0.39509,0.38625,0.19796,1.79287,1.91713,1.39967,0.00077725,0.00077725,0.00077725
47,623.633,1.71436,1.27288,1.04883,0.48581,0.40644,0.40017,0.19948,1.81433,1.82505,1.41188,0.0007723,0.0007723,0.0007723
48,635.425,1.71371,1.246,1.03325,0.43405,0.41129,0.36403,0.1792,1.82737,1.93236,1.4184,0.00076735,0.00076735,0.00076735
49,647.782,1.67531,1.23793,1.03813,0.464,0.43302,0.38301,0.18187,1.82653,1.88403,1.38006,0.0007624,0.0007624,0.0007624
50,660.038,1.68633,1.22646,1.03556,0.51625,0.43093,0.43205,0.21565,1.79789,1.75673,1.41275,0.00075745,0.00075745,0.00075745
51,672.205,1.67493,1.21104,1.03403,0.48671,0.42968,0.42898,0.21118,1.83701,1.78937,1.41669,0.0007525,0.0007525,0.0007525
52,684.122,1.67317,1.20986,1.03571,0.50676,0.38762,0.38884,0.20135,1.78894,1.81121,1.3678,0.00074755,0.00074755,0.00074755
53,696.082,1.69933,1.23344,1.04589,0.51163,0.44197,0.41045,0.19569,1.80043,1.85149,1.39339,0.0007426,0.0007426,0.0007426
54,708.039,1.66517,1.21127,1.02924,0.52221,0.39184,0.37913,0.18907,1.80515,1.98481,1.4114,0.00073765,0.00073765,0.00073765
55,719.672,1.67988,1.22433,1.03157,0.42134,0.40583,0.37869,0.19607,1.85243,1.90076,1.4314,0.0007327,0.0007327,0.0007327
56,731.726,1.66692,1.1926,1.03048,0.42396,0.43928,0.38479,0.19454,1.77375,1.82366,1.41935,0.00072775,0.00072775,0.00072775
57,743.27,1.65905,1.20196,1.03382,0.46378,0.42419,0.39972,0.19705,1.81728,1.92139,1.39572,0.0007228,0.0007228,0.0007228
58,754.907,1.66416,1.17589,1.03019,0.52763,0.40749,0.41137,0.20298,1.7737,1.84641,1.39705,0.00071785,0.00071785,0.00071785
59,766.951,1.61944,1.17596,1.02073,0.48175,0.41605,0.40659,0.21124,1.7897,1.81773,1.4159,0.0007129,0.0007129,0.0007129
60,778.602,1.65475,1.1617,1.02129,0.48667,0.40447,0.40214,0.20309,1.77267,1.86342,1.38238,0.00070795,0.00070795,0.00070795
61,791.12,1.65526,1.16316,1.02303,0.55405,0.36983,0.38975,0.20458,1.86425,1.94972,1.41695,0.000703,0.000703,0.000703
62,803.149,1.63033,1.13091,1.01674,0.54327,0.38181,0.41135,0.2183,1.75135,1.7639,1.35488,0.00069805,0.00069805,0.00069805
63,814.836,1.6188,1.14496,1.01293,0.5105,0.41363,0.40091,0.21395,1.73996,1.81239,1.35041,0.0006931,0.0006931,0.0006931
64,826.364,1.62343,1.13747,1.0074,0.47725,0.40826,0.39007,0.20051,1.78456,1.92549,1.35355,0.00068815,0.00068815,0.00068815
65,838.22,1.6249,1.16657,1.02553,0.54337,0.3663,0.39722,0.20761,1.81715,1.84535,1.40977,0.0006832,0.0006832,0.0006832
66,850.049,1.63539,1.14191,1.01429,0.49463,0.43339,0.41457,0.21781,1.77728,1.83718,1.38176,0.00067825,0.00067825,0.00067825
67,861.58,1.63728,1.15713,1.02475,0.52462,0.46468,0.44985,0.22259,1.75086,1.77487,1.35314,0.0006733,0.0006733,0.0006733
68,873.086,1.60001,1.12409,1.01732,0.48652,0.47762,0.4264,0.21776,1.75285,1.76546,1.37493,0.00066835,0.00066835,0.00066835
69,885.388,1.60332,1.11294,1.003,0.51872,0.46648,0.44473,0.229,1.76667,1.7423,1.36528,0.0006634,0.0006634,0.0006634
70,897.693,1.6109,1.103,1.00589,0.46516,0.43739,0.41038,0.20366,1.77182,1.81414,1.35122,0.00065845,0.00065845,0.00065845
71,909.921,1.61232,1.1107,1.0023,0.47571,0.43163,0.40892,0.21064,1.77121,1.74907,1.36418,0.0006535,0.0006535,0.0006535
72,922.541,1.59672,1.10661,1.00868,0.53475,0.41169,0.41586,0.20229,1.8023,1.8068,1.37512,0.00064855,0.00064855,0.00064855
73,934.637,1.6108,1.11355,1.00503,0.5251,0.45059,0.449,0.23805,1.73791,1.69184,1.34954,0.0006436,0.0006436,0.0006436
74,946.575,1.58575,1.10831,1.00946,0.53103,0.46163,0.44745,0.23576,1.72408,1.7053,1.32617,0.00063865,0.00063865,0.00063865
75,958.513,1.57519,1.07951,0.99792,0.52653,0.41876,0.41338,0.20462,1.75811,1.81472,1.37177,0.0006337,0.0006337,0.0006337
76,970.529,1.57777,1.09427,1.00057,0.49557,0.44842,0.41603,0.20689,1.75251,1.8042,1.37418,0.00062875,0.00062875,0.00062875
77,982.97,1.57099,1.07921,0.99709,0.5288,0.48453,0.43111,0.23389,1.71545,1.76505,1.33914,0.0006238,0.0006238,0.0006238
78,995.17,1.56592,1.06101,0.99397,0.52159,0.45672,0.45061,0.24423,1.71696,1.67371,1.32695,0.00061885,0.00061885,0.00061885
