epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
183,2426.71,1.312,0.80897,0.92579,0.59883,0.45555,0.46506,0.25574,1.7096,1.58086,1.38813,9.91e-05,9.91e-05,9.91e-05
184,2439.33,1.30055,0.7908,0.92075,0.59944,0.45331,0.47578,0.26038,1.68789,1.57864,1.37784,9.415e-05,9.415e-05,9.415e-05
185,2451.73,1.31133,0.79739,0.9266,0.57547,0.46195,0.47456,0.26237,1.69335,1.60871,1.38228,8.92e-05,8.92e-05,8.92e-05
186,2468.18,1.29422,0.79056,0.91959,0.61317,0.43258,0.45804,0.25535,1.68708,1.65117,1.37795,8.425e-05,8.425e-05,8.425e-05
187,2481.58,1.2953,0.79197,0.92025,0.5423,0.48452,0.46776,0.26351,1.66741,1.61889,1.37202,7.93e-05,7.93e-05,7.93e-05
188,2494,1.32454,0.79832,0.92603,0.61404,0.43552,0.46782,0.2634,1.67885,1.6038,1.37364,7.435e-05,7.435e-05,7.435e-05
189,2506.56,1.28856,0.79188,0.92459,0.56402,0.46023,0.46405,0.26184,1.68044,1.59964,1.37737,6.94e-05,6.94e-05,6.94e-05
190,2518.65,1.29614,0.79399,0.92597,0.5399,0.47441,0.46058,0.25918,1.68297,1.61787,1.37385,6.445e-05,6.445e-05,6.445e-05
191,2531.13,1.31415,0.79595,0.9228,0.56464,0.47099,0.46756,0.25886,1.68404,1.59865,1.37419,5.95e-05,5.95e-05,5.95e-05
192,2543.49,1.30769,0.78676,0.92098,0.56061,0.46104,0.47103,0.26419,1.68133,1.61157,1.38331,5.455e-05,5.455e-05,5.455e-05
193,2556,1.31499,0.79571,0.92641,0.5906,0.44422,0.46674,0.26267,1.68208,1.60769,1.37237,4.96e-05,4.96e-05,4.96e-05
194,2568.71,1.29853,0.78921,0.92767,0.54117,0.47781,0.46616,0.26188,1.68235,1.60618,1.37904,4.465e-05,4.465e-05,4.465e-05
195,2581.34,1.31155,0.78929,0.9193,0.58619,0.45619,0.47107,0.2669,1.67209,1.59124,1.36672,3.97e-05,3.97e-05,3.97e-05
196,2593.73,1.29008,0.78715,0.91708,0.55034,0.4768,0.46938,0.26544,1.66414,1.59138,1.35892,3.475e-05,3.475e-05,3.475e-05
197,2606.04,1.30811,0.78896,0.91898,0.6058,0.4361,0.46683,0.26263,1.67483,1.61182,1.36981,2.98e-05,2.98e-05,2.98e-05
198,2618.08,1.27621,0.772,0.91472,0.62685,0.42001,0.46421,0.26177,1.66776,1.62545,1.36808,2.485e-05,2.485e-05,2.485e-05
199,2630.46,1.29785,0.7826,0.91557,0.63027,0.424,0.46458,0.26361,1.67078,1.63403,1.38059,1.99e-05,1.99e-05,1.99e-05
200,2643.45,1.27951,0.78179,0.92427,0.61699,0.42526,0.4664,0.26483,1.67167,1.62746,1.37455,1.495e-05,1.495e-05,1.495e-05
