epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.083,2.13219,3.49003,1.4828,0.6216,0.10823,0.12251,0.05128,1.92817,3.99217,1.63101,0.000328571,0.000328571,0.000328571
2,457.015,1.92404,2.4416,1.35134,0.22284,0.25626,0.14331,0.06204,2.09595,3.69447,1.87249,0.000655352,0.000655352,0.000655352
3,829.914,1.83708,2.20036,1.3402,0.24666,0.29887,0.16715,0.06658,2.08633,3.31963,1.85373,0.000975532,0.000975532,0.000975532
